# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
  5300  0.000000  0.010000  0.000000  0.000000  0.010000  0.000000  0.210000  0.000000  0.000000  0.000000  0.000000  0.210000  0.000000  0.000000  0.000000  
  5400  0.010000  0.000000  0.010000  0.010000  0.000000  0.000000  0.220000  0.000000  0.000000  0.000000  0.000000  0.210000  0.000000  0.000000  0.000000  
  5500  0.000000  0.010000  0.000000  0.010000  0.000000  0.000000  0.210000  0.000000  0.000000  0.000000  0.000000  0.210000  0.000000  0.000000  0.000000  
  5600  0.010000  0.000000  0.010000  0.000000  0.010000  0.000000  0.220000  0.000000  0.000000  0.000000  0.000000  0.210000  0.000000  0.000000  0.000000  
  5700  0.000000  0.010000  0.010000  0.000000  0.010000  0.000000  0.220000  0.000000  0.000000  0.000000  0.000000  0.220000  0.000000  0.000000  0.000000  
  5800  0.010000  0.000000  0.010000  0.000000  0.010000  0.000000  0.230000  0.000000  0.000000  0.000000  0.000000  0.220000  0.000000  0.000000  0.000000  
  5900  0.010000  0.010000  0.010000  0.000000  0.010000  0.000000  0.240000  0.000000  0.000000  0.000000  0.000000  0.230000  0.000000  0.000000  0.010000  
  6000  0.000000  0.010000  0.010000  0.000000  0.010000  0.010000  0.230000  0.000000  0.000000  0.000000  0.000000  0.230000  0.000000  0.010000  0.000000  
  6100  0.000000  0.010000  0.010000  0.010000  0.010000  0.000000  0.240000  0.000000  0.000000  0.000000  0.000000  0.240000  0.000000  0.000000  0.000000  
  6200  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  0.250000  0.000000  0.000000  0.000000  0.000000  0.240000  0.000000  0.000000  0.000000  
  6300  0.010000  0.010000  0.000000  0.020000  0.000000  0.000000  0.250000  0.000000  0.000000  0.000000  0.000000  0.240000  0.000000  0.000000  0.000000  
  6400  0.010000  0.000000  0.010000  0.010000  0.010000  0.000000  0.250000  0.000000  0.000000  0.000000  0.000000  0.240000  0.000000  0.000000  0.000000  
  6500  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  0.250000  0.000000  0.000000  0.010000  0.000000  0.250000  0.000000  0.000000  0.000000  
  6600  0.010000  0.010000  0.010000  0.000000  0.020000  0.000000  0.260000  0.000000  0.000000  0.000000  0.000000  0.250000  0.000000  0.000000  0.000000  
  6700  0.010000  0.000000  0.010000  0.000000  0.020000  0.000000  0.260000  0.010000  0.000000  0.000000  0.000000  0.260000  0.000000  0.000000  0.000000  
  6800  0.010000  0.010000  0.010000  0.010000  0.010000  0.000000  0.280000  0.000000  0.000000  0.000000  0.000000  0.260000  0.000000  0.000000  0.000000  
  6900  0.000000  0.010000  0.010000  0.010000  0.010000  0.000000  0.270000  0.000000  0.000000  0.000000  0.000000  0.270000  0.000000  0.000000  0.000000  
  7000  0.010000  0.010000  0.010000  0.010000  0.010000  0.000000  0.280000  0.000000  0.000000  0.000000  0.000000  0.260000  0.000000  0.000000  0.000000  
  7100  0.010000  0.000000  0.010000  0.020000  0.000000  0.000000  0.280000  0.000000  0.000000  0.000000  0.000000  0.280000  0.000000  0.000000  0.000000  
  7200  0.010000  0.010000  0.010000  0.010000  0.010000  0.000000  0.290000  0.000000  0.000000  0.000000  0.010000  0.270000  0.010000  0.000000  0.000000  
  7300  0.010000  0.000000  0.010000  0.020000  0.000000  0.000000  0.290000  0.000000  0.000000  0.000000  0.000000  0.290000  0.000000  0.000000  0.000000  
  7400  0.010000  0.010000  0.010000  0.010000  0.010000  0.000000  0.290000  0.000000  0.000000  0.000000  0.000000  0.280000  0.000000  0.000000  0.000000  
  7500  0.000000  0.000000  0.010000  0.010000  0.010000  0.000000  0.290000  0.000000  0.000000  0.000000  0.000000  0.290000  0.000000  0.000000  0.000000  
  7600  0.000000  0.010000  0.010000  0.010000  0.010000  0.000000  0.300000  0.000000  0.000000  0.000000  0.000000  0.290000  0.000000  0.000000  0.000000  
